rank,ratio_usd_per_100,website,name,price_usd,value,needs_check,flags,price_outlier_hint,cross_shop_median_usd,eur_per_100_from_usd,usd_to_eur_rate,fx_source,fx_timestamp
87,3.3689,LOLGA,Sunrise,37.90,1125,False,,False,62.29,2.9125,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
88,3.3843,LOLGA,Chroma Snow Dagger,109.99,3250,False,,False,232.99,2.9258,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
89,3.3846,StarPets,Virtual,0.44,13,False,,True,1.39,2.9261,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
90,3.3933,StarPets,Sweet,5.09,150,False,,False,10.64,2.9336,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
91,3.4063,StarPets,Chroma Cookiecane,1.09,32,False,,True,2.49,2.9448,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
92,3.4115,StarPets,Blizzard,8.87,260,False,,False,15.19,2.9494,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
93,3.4242,StarPets,Darkbringer,1.13,33,False,,False,1.99,2.9604,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
94,3.4351,LOLGA,Chroma Snowstorm,145.99,4250,False,,False,236.04,2.9697,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
95,3.4462,StarPets,Chroma Darkbringer,2.24,65,False,,False,4.29,2.9793,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
96,3.4561,StarPets,Xenoknife,9.85,285,False,,False,20.44,2.9879,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
97,3.4598,Bloxxer,Chroma Alienbeam,830.34,24000,False,,False,1006.46,2.9911,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
98,3.4875,StarPets,Pearl,2.79,80,False,,True,7.29,3.0150,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
99,3.4901,Bloxxer,Darksword,61.95,1775,False,,False,93.59,3.0173,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
100,3.4982,StarPets,Xenoshot,9.97,285,False,,False,21.24,3.0243,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
101,3.5000,StarPets,Clockwork,0.35,10,False,,True,0.79,3.0258,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
102,3.5000,StarPets,Eternal III,0.28,8,False,,True,1.39,3.0258,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
103,3.5100,StarPets,Chroma Bauble,1193.41,34000,False,,False,1199.99,3.0345,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
104,3.5206,StarPets,Heart Wand,11.97,340,False,,False,22.74,3.0436,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
105,3.5294,Bloxxer,Chroma Bauble,1199.99,34000,False,,False,1199.99,3.0513,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
106,3.6061,StarPets,Candleflame,1.19,33,False,,False,2.49,3.1175,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
107,3.6154,StarPets,Deathshard,0.47,13,False,,True,1.19,3.1256,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
108,3.6154,StarPets,Icebreaker,2.35,65,False,,True,5.34,3.1256,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
109,3.6215,Bloxxer,Chroma Sunset,334.99,9250,False,,False,334.99,3.1309,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
110,3.6250,StarPets,Ghost,0.29,8,False,,True,1.54,3.1339,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
111,3.6500,StarPets,Bat,4.38,120,False,,False,9.44,3.1555,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
112,3.6662,LOLGA,Alienbeam,76.99,2100,False,,False,95.52,3.1695,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
113,3.6667,StarPets,Prince,0.22,6,False,,True,0.69,3.1699,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
114,3.6667,StarPets,Swirly Blade,0.44,12,False,,True,1.39,3.1699,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
115,3.6842,StarPets,Swirly Axe,1.40,38,False,,False,2.39,3.1851,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
116,3.6963,LOLGA,Beachy,4.99,135,False,,False,10.64,3.1956,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
117,3.6963,LOLGA,Sands,4.99,135,False,,False,10.64,3.1956,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
118,3.7000,Bloxxer,C. Constellation,999.00,27000,False,,False,999.00,3.1988,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
119,3.7400,StarPets,Chroma Luger,1.87,50,False,,False,2.99,3.2333,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
120,3.7412,LOLGA,Chroma Heart Wand,159.00,4250,False,,False,257.19,3.2344,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
121,3.7564,LOLGA,Bauble,30.99,825,False,,False,44.09,3.2475,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
122,3.7576,StarPets,Lightbringer,1.24,33,False,,False,2.39,3.2485,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
123,3.7635,LOLGA,Snowcannon,31.99,850,False,,False,46.79,3.2537,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
124,3.7812,StarPets,Chroma Gemstone,1.21,32,False,,False,2.49,3.2690,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
125,3.7826,StarPets,Chroma Saw,0.87,23,False,,True,2.19,3.2702,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
126,3.7838,StarPets,C. Elderwood Blade,1.40,37,False,,False,2.84,3.2712,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
127,3.7871,StarPets,Treat,5.87,155,False,,False,10.94,3.2741,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
128,3.8120,LOLGA,Harvester,9.53,250,False,,False,16.99,3.2956,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
129,3.8125,StarPets,Sugar,1.22,32,False,,False,2.40,3.2960,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
130,3.8148,StarPets,Chroma Tides,1.03,27,False,,False,2.19,3.2980,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
131,3.8214,StarPets,Chroma Seer,1.07,28,False,,True,2.49,3.3037,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
132,3.8391,Bloxxer,Traveler's Gun,214.99,5600,False,,False,302.59,3.3190,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
133,3.8517,LOLGA,Raygun,69.33,1800,False,,False,121.09,3.3299,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
134,3.8684,StarPets,Chroma Swirly Gun,1.47,38,False,,False,2.69,3.3444,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
135,3.8684,StarPets,Elderwood Scythe,1.47,38,False,,True,3.69,3.3444,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
136,3.8760,Bloxxer,Gingerscope,687.99,17750,False,,False,825.29,3.3509,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
137,3.8813,StarPets,Icepiercer,6.21,160,False,,False,11.84,3.3555,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
138,3.9126,LOLGA,Chroma Treat,89.99,2300,False,,False,151.29,3.3826,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
139,3.9333,StarPets,Iceflake,0.59,15,False,,True,1.99,3.4005,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
140,3.9653,LOLGA,Spirit,23.99,605,False,,False,29.69,3.4281,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
141,4.0000,StarPets,Cowboy,0.16,4,False,,True,0.39,3.4581,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
142,4.0000,StarPets,Blood,0.32,8,False,,False,0.69,3.4581,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
143,4.0000,StarPets,Ginger Luger,0.68,17,False,,False,1.49,3.4581,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
144,4.0462,StarPets,Heartblade,2.63,65,False,,False,5.04,3.4980,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
145,4.0471,StarPets,Pearlshine,3.44,85,False,,False,6.69,3.4988,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
146,4.0634,LOLGA,Soul,24.99,615,False,,False,37.84,3.5129,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
147,4.1000,StarPets,Fang,0.41,10,False,,False,0.69,3.5446,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
148,4.1122,Bloxxer,Rainbow,16.86,410,False,,False,23.39,3.5551,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
149,4.1125,StarPets,Candy,3.29,80,False,,True,8.54,3.5554,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
150,4.1306,Bloxxer,Spirit,24.99,605,False,,False,29.69,3.5710,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
151,4.1333,StarPets,Hallowscythe,1.24,30,False,,True,3.09,3.5734,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
152,4.1560,LOLGA,Snow Dagger,10.39,250,False,,False,15.19,3.5930,0.86452840,ECB daily reference rate,2026-08-16T22:52:22.226537+00:00
